"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "Markdown", "JSON", "C#", "HTML", "MS SQL", "Properties", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3886, 0, 0, 0, 0, 0, 1, 3887
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\package.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\App.jsx", "JavaScript JSX", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 18, 49, 286
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\First\Login.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 13, 86
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\First\Register.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 24, 144
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\CardItem.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\NewsByAthor.jsx", "JavaScript JSX", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 12, 23, 205
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\NewsCards.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 13, 56
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\NewsModal.jsx", "JavaScript JSX", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 8, 14, 184
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\a.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 4, 39
